"name"	"ptrOffset"	"ptrBytes"	"ptrShift"	"mapLineOffset"	"mapLineEntryOffset"	"mapLineAddr"	"lineOffset"	"lineBytes"	"lineSetPtr"	"lineText"	"translation"
"options"	"0003D381"	"D383"	"00030010"	"0003D393"	"0003D393"	"22A3"	"0003D409"	"42 18"	""	"はい"	""
"options"	"0003D381"	"D383"	"00030010"	"0003D393"	"0003D397"	"22E3"	"0003D40C"	"18 18 20"	""	"いいえ"	""
"options"	"0003D383"	"D38D"	"00030010"	"0003D39D"	"0003D39D"	"22A3"	"0003D410"	"42 37 29"	""	"はなす"	""
"options"	"0003D383"	"D38D"	"00030010"	"0003D39D"	"0003D3A1"	"22E3"	"0003D414"	"206 19 194"	""	"どうぐ"	""
"options"	"0003D383"	"D38D"	"00030010"	"0003D39D"	"0003D3A5"	"2323"	"0003D418"	"119 82 108"	""	"ライフ"	""
"options"	"0003D385"	"D39B"	"00030010"	"0003D3AB"	"0003D3AB"	"22A3"	"0003D409"	"42 18"	""	"はい"	""
"options"	"0003D385"	"D39B"	"00030010"	"0003D3AB"	"0003D3AF"	"22E3"	"0003D40C"	"18 18 20"	""	"いいえ"	""
"options"	"0003D385"	"D39B"	"00030010"	"0003D3AB"	"0003D3B3"	"2323"	"0003D414"	"206 19 194"	""	"どうぐ"	""
"options"	"0003D387"	"D3A9"	"00030010"	"0003D3B9"	"0003D3B9"	"22A3"	"0003D41C"	"208 125 229 121"	""	"ガンバル"	""
"options"	"0003D387"	"D3A9"	"00030010"	"0003D3B9"	"0003D3BD"	"22E3"	"0003D414"	"206 19 194"	""	"どうぐ"	""
"options"	"0003D387"	"D3A9"	"00030010"	"0003D3B9"	"0003D3C1"	"2323"	"0003D421"	"38 195 57"	""	"にげる"	""
"options"	"0003D389"	"D3B7"	"00030010"	"0003D3C7"	"0003D3C7"	"22A3"	"0003D425"	"22 19"	""	"かう"	""
"options"	"0003D389"	"D3B7"	"00030010"	"0003D3C7"	"0003D3CB"	"22E3"	"0003D428"	"19 57"	""	"うる"	""
"options"	"0003D389"	"D3B7"	"00030010"	"0003D3C7"	"0003D3CF"	"2323"	"0003D42B"	"205 57"	""	"でる"	""
"options"	"0003D38B"	"D3C5"	"00030010"	"0003D3D5"	"0003D3D5"	"22A3"	"0003D42E"	"36 47 57"	""	"とまる"	""
"options"	"0003D38B"	"D3C5"	"00030010"	"0003D3D5"	"0003D3D9"	"22E3"	"0003D432"	"94 80 231"	""	"セーブ"	""
"options"	"0003D38B"	"D3C5"	"00030010"	"0003D3D5"	"0003D3DD"	"2323"	"0003D42B"	"205 57"	""	"でる"	""
"options"	"0003D38D"	"D3D3"	"00030010"	"0003D3E3"	"0003D3E3"	"22A3"	"0003D436"	"171 175"	""	"知力"	""
"options"	"0003D38D"	"D3D3"	"00030010"	"0003D3E3"	"0003D3E7"	"22E3"	"0003D439"	"172 175"	""	"体力"	""
"options"	"0003D38D"	"D3D3"	"00030010"	"0003D3E3"	"0003D3EB"	"2323"	"0003D43C"	"173 174"	""	"信用"	""
"options"	"0003D38D"	"D3D3"	"00030010"	"0003D3E3"	"0003D3EF"	"2363"	"0003D43F"	"19 61"	""	"うん"	""
"options"	"0003D38F"	"D3E5"	"00030010"	"0003D3F5"	"0003D3F5"	"22A3"	"0003D442"	"47 60 29"	""	"まわす"	""
"options"	"0003D38F"	"D3E5"	"00030010"	"0003D3F5"	"0003D3F9"	"22E3"	"0003D414"	"206 19 194"	""	"どうぐ"	""
"options"	"0003D391"	"D3EF"	"00030010"	"0003D3FF"	"0003D3FF"	"22A3"	"0003D414"	"206 19 194"	""	"どうぐ"	""
"options"	"0003D391"	"D3EF"	"00030010"	"0003D3FF"	"0003D403"	"22E3"	"0003D421"	"38 195 57"	""	"にげる"	""
"roulette"	"00034664"	"A65C"	"0002A010"	"0003466C"	"0003466C"	"22A9"	"000346A4"	"129 185 133 0 81 125 119 79 87 80 0 137 185 186 0 105 80 111 121"	""	"１・５　アンラッキー　９・１０　ノーマル"	""
