"ptrOffset"	"ptrBytes"	"strOffset"	"strBytes"	"strText"	"translation"
"0001A010"	"0BE6"	"0001ABF6"	"81 121 229 82 100 41 43 36 202 40 1 254 129 22 18 38 34 23 133 128 128 128 127 205 4 172 175 6 34 22 19 254 28 196 36 202 25 206 18 18 22 37 143"	"アルバイトのひとだね。
１かいにつき５０００円で、体力をつかう
しごとだけどいいかな？"	""
"0001A012"	"0C12"	"0001AC22"	"31 58 42 4 197 61 40 61 202 37 1 254 23 192 22 60 15 32 55 47 32 26 18 54 1"	"それは、ざんねんだな。
きがかわったらまたこいよ。"	""
"0001A014"	"0C2C"	"0001AC3C"	"28 15 22 56 52 15 35 24 58 65"	"しっかりやってくれ！"	""
"0001A016"	"0C37"	"0001AC47"	"253 0 42 4 172 175 6 133 249 82 125 100 34 22 15 32 1 254 229 82 100 56 14 19 133 128 128 128 127 6 35 38 18 58 32 1"	"[FD 00]は、体力を５ポイントつかった。
バイトりょう５０００円をてにいれた。"	""
"0001A018"	"0C5C"	"0001AC6C"	"47 32 4 23 35 24 58 54 1"	"また、きてくれよ。"	""
"0001A01A"	"0C66"	"0001AC76"	"18 55 15 28 12 18 47 30 4 37 38 38 37 27 18 47 29 22 143"	"いらっしゃいませ、なにになさいますか？"	""
"0001A01C"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A01E"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A020"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A022"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A024"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A026"	"0C7A"	"0001AC8A"	"47 32 206 19 201 1"	"またどうぞ。"	""
"0001A028"	"0C81"	"0001AC91"	"253 8 42 253 6 127 38 37 56 47 29 1"	"[FD 08]は[FD 06]円になります。"	""
"0001A02A"	"0C8E"	"0001AC9E"	"21 22 40 192 32 56 37 18 54 19 205 29 192 1"	"おかねがたりないようですが。"	""
"0001A02C"	"0C8E"	"0001AC9E"	"21 22 40 192 32 56 37 18 54 19 205 29 192 1"	"おかねがたりないようですが。"	""
"0001A02E"	"0C8E"	"0001AC9E"	"21 22 40 192 32 56 37 18 54 19 205 29 192 1"	"おかねがたりないようですが。"	""
"0001A030"	"0C8E"	"0001AC9E"	"21 22 40 192 32 56 37 18 54 19 205 29 192 1"	"おかねがたりないようですが。"	""
