"ptrOffset"	"ptrBytes"	"strOffset"	"strText"	"translation"
"0001E10C"	"8224"	"0001E234"	"　　　　　　　　　　　　　　　　　　　　　　　　　　　"	""
"0001E10E"	"8240"	"0001E250"	"ここは　おまえのような　よわいやつの"	""
"0001E110"	"8253"	"0001E263"	"くるところでは　ない、　いますぐ　かえって"	""
"0001E112"	"8269"	"0001E279"	"いのちを　だいじに　するんだな。"	""
"0001E114"	"827A"	"0001E28A"	"なにか　おさがしかな　"	""
"0001E116"	"8286"	"0001E296"	"それが　どこにあるか　うらなって　しんぜよう"	""
"0001E118"	"829D"	"0001E2AD"	"うう　むむむむむ　!!"	""
"0001E11A"	"82A8"	"0001E2B8"	"なんとうじゃ　なんとうと　でたぞ!!"	""
"0001E11C"	"82BA"	"0001E2CA"	"あたるも　はっけ　あたらぬも　はっけ　ひっひっ!!"	""
"0001E11E"	"82D3"	"0001E2E3"	"なむあみだぶつ　なむあみだぶつ"	""
"0001E120"	"82E3"	"0001E2F3"	"わしはなにもいわん　おぬしが　りゅうこつきを"	""
"0001E122"	"82FA"	"0001E30A"	"たおすのを　まって　おるぞ!!"	""
"0001E124"	"8309"	"0001E319"	"ああ　おそろしや　おそろしや"	""
"0001E126"	"8318"	"0001E328"	"きょだいな　かぶとが　ひをはいて、、、、"	""
"0001E128"	"83FB"	"0001E40B"	"おお　おぬしの　うしろで"	""
"0001E12A"	"8408"	"0001E418"	"ひそかに　おぬしを　みまもる"	""
"0001E12C"	"8417"	"0001E427"	"せんしの　れいが　ふたつみえる!!"	""
"0001E12E"	"8356"	"0001E366"	"いちかけ　にかけて　さんかけて　"	""
"0001E130"	"8367"	"0001E377"	"しかけて　ころして　ひがくれて、、、"	""
"0001E132"	"837A"	"0001E38A"	"どうか　この　うらみを　はらしてください。"	""
"0001E134"	"8390"	"0001E3A0"	"あさも　はよから　じょぎんぐとは"	""
"0001E136"	"83A1"	"0001E3B1"	"せいが　でるのう"	""
"0001E138"	"83AA"	"0001E3BA"	"たいりょく　づくりに　はげむのじゃぞ!!"	""
"0001E13A"	"83BE"	"0001E3CE"	"いいことを　おしえてあげよう。"	""
"0001E13C"	"83CE"	"0001E3DE"	"いちばん　さいしょの　かどを　まがっては　いかん!!"	""
"0001E13E"	"83E8"	"0001E3F8"	"わしの　いうことを　しんじるのじゃ!!"	""
"0001E140"	"832D"	"0001E33D"	"みなみの　なかすには　おにが　いるという!!"	""
"0001E142"	"8343"	"0001E353"	"ふおっ　ふおっ　ふおっ　ふおっ、、、"	""
"0001E144"	"8356"	"0001E366"	"いちかけ　にかけて　さんかけて　"	""
"0001E146"	"8428"	"0001E438"	"おぬし　はどうけんを　さんぼん　もっておるか"	""
"0001E148"	"843F"	"0001E44F"	"りゅうこつきは　はどうけんが　さんぼんなければ"	""
