"ptrOffset"	"ptrBytes"	"strOffset"	"strText"	"translation"
"0001E10E"	"8240"	"0001E250"	"ここは　おまえのような　よわいやつの"	"This is no place for a[n]weakling such as you."
"0001E110"	"8253"	"0001E263"	"くるところでは　ない、　いますぐ　かえって"	"Turn your back and leave,[n]lest you fall victim to"
"0001E112"	"8269"	"0001E279"	"いのちを　だいじに　するんだな。"	"the vicious creatures[n]roaming these halls."
"0001E114"	"827A"	"0001E28A"	"なにか　おさがしかな　"	"Are you looking for[n]something?"
"0001E116"	"8286"	"0001E296"	"それが　どこにあるか　うらなって　しんぜよう"	"Allow me to divine its[n]location with my powers."
"0001E118"	"829D"	"0001E2AD"	"うう　むむむむむ　!!"	"Mmmmmmmm!"
"0001E11A"	"82A8"	"0001E2B8"	"なんとうじゃ　なんとうと　でたぞ!!"	"I see! It's clearly...[n]somewhere south-east!"
"0001E11C"	"82BA"	"0001E2CA"	"あたるも　はっけ　あたらぬも　はっけ　ひっひっ!!"	"That's all I can say![n]Tee-hee!"
"0001E11E"	"82D3"	"0001E2E3"	"なむあみだぶつ　なむあみだぶつ"	"May Lord have mercy on[n]your soul."
"0001E120"	"82E3"	"0001E2F3"	"わしはなにもいわん　おぬしが　りゅうこつきを"	"There is nothing more I[n]can say."
"0001E122"	"82FA"	"0001E30A"	"たおすのを　まって　おるぞ!!"	"I'll wait for you to deal[n]with Ryukotsuki!"
"0001E124"	"8309"	"0001E319"	"ああ　おそろしや　おそろしや"	"Ahh... I'm scared...[n]I'm so scared..."
"0001E126"	"8318"	"0001E328"	"きょだいな　かぶとが　ひをはいて、、、、"	"A giant helm, breathing[n]fire..."
"0001E128"	"83FB"	"0001E40B"	"おお　おぬしの　うしろで"	"Ohh! Behind you![n]I see them!"
"0001E12A"	"8408"	"0001E418"	"ひそかに　おぬしを　みまもる"	"I can see the spirits of[n]two brave warriors,"
"0001E12C"	"8417"	"0001E427"	"せんしの　れいが　ふたつみえる!!"	"watching over you, their[n]eyes full of pride!"
