"ptrOffset"	"ptrBytes"	"strOffset"	"type"	"name"	"name_translation"	"strText"	"translation"
"0000E89F"	"4CF7"	"0000EEF7"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ぼくしの　カ―ペンタ―と　いいます。"	""
"0000E8A3"	"4D0A"	"0000EF0A"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ここには　かいぶつが　はいってこないの
で　あんぜんです。"	""
"0000E8A7"	"4D28"	"0000EF28"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"かみよ　まもりたまえ。"	""
"0000E8AB"	"4D34"	"0000EF34"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"がっこうに　まだ　のこされているひとが
いるはずよ。"	""
"0000E8AF"	"4D4F"	"0000EF4F"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"わたしはキャリ―。　うんよく　ここにこ
れて　よかったわ。　さっきやくしょでひ
とかげをみたわ　はやくいってあげて！"	""
"0000E8B3"	"4D8A"	"0000EF8A"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"たくさんのひとが　しんだのでしょうね。"	""
"0000E8B7"	"4D9E"	"0000EF9E"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"あんた　Ｓ―ＳＷＡＴかい？"	""
"0000E8BB"	"4DAC"	"0000EFAC"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"おんなに　ようは　ねえ。"	""
"0000E8BF"	"4DB9"	"0000EFB9"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"あのひとは　フランクリンぐんそうです。"	""
"0000E8C3"	"4DCD"	"0000EFCD"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"あのこが　いないわ。　キャロル！　がっ
こうの　どこかにいるはず・・・　"	""
"0000E8C7"	"4DF2"	"0000EFF2"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"せんせいはどこ？　さがしものをしていた
の　ごめんなさい。"	""
"0000E8CB"	"4E10"	"0000F010"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"えっ　きょうかいで　まっていればいいの
うん　わかった。"	""
"0000E8CF"	"4E2D"	"0000F02D"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"ありがとう！　はやく　せんせいも　たす
けて！"	""
"0000E8D3"	"4E45"	"0000F045"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"なんだ　おまえは！　なにか　ようか？"	""
"0000E8D7"	"4E58"	"0000F058"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"なに？　きょうかいは　あんぜんなのか。
それなら　わしは　きょうかいへゆくぞ。"	""
"0000E8DB"	"4E80"	"0000F080"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"いいきに　なるな！"	""
"0000E8DF"	"4E8A"	"0000F08A"	"dialogue"	""	""	"ドアは　とじている。"	""
"0000E8E3"	"4E95"	"0000F095"	"dialogue"	""	""	"ＭＡＸ―ＭＦちが　４０になった！"	""
"0000E8E7"	"4EA6"	"0000F0A6"	"dialogue"	""	""	"パスワ―ドを　みますか？
　みる(ＰＡＳＳＷＯＲＤ)
　みない(ＣＯＮＴＩＮＵＥ)"	""
"0000E8EB"	"4ED0"	"0000F0D0"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ごぶじでしたか。　しんぱいしました。"	""
"0000E8EF"	"4EE3"	"0000F0E3"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"ボ―トですか？　やくしょのきたに　ボ―
トごやが　あります。　いってみてくださ
い。"	""
"0000E8F3"	"4F0E"	"0000F10E"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"いきのこった　ひとたちを　はやくたすけ
てください。"	""
"0000E8F7"	"4F29"	"0000F129"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"あなたが　さいごの　きぼうです。"	""
"0000E8FB"	"4F3A"	"0000F13A"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"わたしは　みんぞくがくを　けんきゅうし
ていたの。　そのとき　よくびょういんの
せんせいにも　おせわになったわ。"	""
"0000E8FF"	"4F73"	"0000F173"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"みずうみの　メルティラという　いせきで
こうこがくしゃの　ホイットマンせんせい
が　ゆくえふめいに　なったの。"	""
"0000E903"	"4FAB"	"0000F1AB"	"dialogue"	"　　　　　　　
キャリ―　　　
"	""	"ホイットマンさん　ごぶじでしたのね。　
ドラッグストアのほうは　どうなのかしら
？"	""
"0000E907"	"4FD5"	"0000F1D5"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"やるもんだな　おれは　フランクリンだ。"	""
"0000E90B"	"4FE9"	"0000F1E9"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"イ―ストバンクの　みなみに　ぐんのキャ
ンプが　あるはずだ。　ようすをみてきて
くれ！"	""
"0000E90F"	"5015"	"0000F215"	"dialogue"	"　　　　　　　
フランクリン　
"	""	"ゴ―ドンにあえたか？　よし　びょういん
は　おれにまかせとけ。"	""
"0000E913"	"5035"	"0000F235"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"キャロルは　ぶじだったのね。　よかった
。　わたしも　きょうかいへ　ゆくわ。"	""
"0000E917"	"505C"	"0000F25C"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"ありがとう。　はやく　フランクリンさん
を　たすけてあげて。"	""
"0000E91B"	"507B"	"0000F27B"	"dialogue"	"　　　　　　　
ジャネツト　　
"	""	"こんなこと　もう　たくさんよ！"	""
"0000E91F"	"508B"	"0000F28B"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"せんせいは　どこ？"	""
"0000E923"	"5095"	"0000F295"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"せんせいだ！　よかった。"	""
"0000E927"	"50A2"	"0000F2A2"	"dialogue"	"　　　　　　　
キャロル　　　
"	""	"がんばってね。"	""
"0000E92B"	"50AA"	"0000F2AA"	"dialogue"	"　　　　　　　
ウェルズ　　　
"	""	"こんなとこに　いつまで　いるつもりだ。
ぐんたいは　どうしたんだ。"	""
"0000E92F"	"50CC"	"0000F2CC"	"dialogue"	"　　　　　　　
ロジャ―　　　
"	""	"そこにわかいおとこの　したいがあった。"	""
"0000E933"	"50E0"	"0000F2E0"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"あんた　Ｓ―ＳＷＡＴかい？
おれは　ゴ―ドン。
ここのぶっしも　もうわずかなんだ。
どうしてもってんなら　おれのライフルを
もっていけ。"	""
"0000E937"	"5125"	"0000F325"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"そうか　フランクリンは　ぶじか。　はこ
のなかにだんやくがある。　もうとったか
？"	""
"0000E93B"	"514F"	"0000F34F"	"dialogue"	"　　　　　　　
ゴ―ドン　　　
"	""	"おれは　だいじょうぶだ　あんたも　がん
ばれよ。"	""
"0000E93F"	"5168"	"0000F368"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"たすけてくれ！　いせきを　しらべにきた
ら　ばけものに　おそわれて・・・えっ？
きょうかいは　あんぜんなのか。　よし　
わたしも　きょうかいへ　ひなんしよう。"	""
"0000E943"	"51B8"	"0000F3B8"	"dialogue"	"　　　　　　　
ホイットマン　
"	""	"たすかった。　どうもありがとう。"	""
"0000E947"	"51C9"	"0000F3C9"	"dialogue"	"　　　　　　　
ウェス　　　　
"	""	"おれは　ウェス。　うえにまだ　ひとがい
る。　カギならドクタ―・バスが　もって
いるはずだ。"	""
"0000E94B"	"51F8"	"0000F3F8"	"dialogue"	"　　　　　　　
ピ―タ―　　　
"	""	"おれはピ―タ―。　ここをすてるつもりは
ないね。　みんなのいるところへ　かえん
な！"	""
"0000E94F"	"5223"	"0000F423"	"dialogue"	""	""	"ドアは　とじている。"	""
"0000E953"	"522E"	"0000F42E"	"dialogue"	""	""	"ドアが　ひらいた！"	""
"0000E957"	"5238"	"0000F438"	"dialogue"	""	""	"はかいされた　たてものの　あとだ。
かいだんも　のぼれそうに　ない。"	""
"0000E95B"	"525B"	"0000F45B"	"dialogue"	""	""	"ＭＡＸ―ＭＦちが　６０になった！"	""
"0000E95F"	"526C"	"0000F46C"	"dialogue"	""	""	"パスワ―ドを　みますか？
　みる(ＰＡＳＳＷＯＲＤ)
　みない(ＣＯＮＴＩＮＵＥ)"	""
"0000E963"	"5296"	"0000F496"	"dialogue"	"　　　　　　　
カ―ペンタ―　
"	""	"かみよ　このものを　まもりたまえ。"	""
