"evPtrOffset"	"evType"	"evOffset"	"evPartOffset"	"codeBytes"	"codeData"	"linesUsed"	"strText"	"translation"
"0004"	"code"	"05B8"	"05B8"	"D0 63"	"screenMode: low res"	""	""	""
"0004"	"text"	"05B8"	"05BA"	""	""	"0 1"	"イベント番号、または、構造の指定に
誤りがあります。
再確認が必要です。[1F]"	""
"0008"	"null"	"05BE"	""	""	""	""	""	""
"000C"	"null"	"05BE"	""	""	""	""	""	""
"0010"	"null"	"05BE"	""	""	""	""	""	""
"0014"	"null"	"05BE"	""	""	""	""	""	""
"0018"	"null"	"05BE"	""	""	""	""	""	""
"001C"	"null"	"05BE"	""	""	""	""	""	""
"0020"	"code"	"05BE"	"05BE"	"91 2B"	"addVar, var 43 += 1"	""	""	""
"0020"	"code"	"05BE"	"05C0"	"D0 63"	"screenMode: low res"	""	""	""
"0020"	"code"	"05BE"	"05C2"	"A6 21"	"textControl, speed: 6, sfx: 33"	""	""	""
"0020"	"text"	"05BE"	"05C4"	""	""	"2 3 4"	"Ｃｏｍ：金属鉱石を手に入れました。[1F]"	""
"0024"	"code"	"05CA"	"05CA"	"91 2C"	"addVar, var 44 += 1"	""	""	""
"0024"	"code"	"05CA"	"05CC"	"D0 63"	"screenMode: low res"	""	""	""
"0024"	"code"	"05CA"	"05CE"	"A6 21"	"textControl, speed: 6, sfx: 33"	""	""	""
"0024"	"text"	"05CA"	"05D0"	""	""	"2 5 4"	"Ｃｏｍ：重元素鉱石を手に入れました。[1F]"	""
"0028"	"code"	"05D6"	"05D6"	"91 2A"	"addVar, var 42 += 1"	""	""	""
"0028"	"code"	"05D6"	"05D8"	"D0 63"	"screenMode: low res"	""	""	""
"0028"	"code"	"05D6"	"05DA"	"A6 21"	"textControl, speed: 6, sfx: 33"	""	""	""
"0028"	"text"	"05D6"	"05DC"	""	""	"2 6 4"	"Ｃｏｍ：重水素鉱石を手に入れました。[1F]"	""
"002C"	"null"	"05E2"	""	""	""	""	""	""
"0030"	"code"	"05E2"	"05E2"	"D0 35"	"screenMode: high res, op: setBackground = Gravity Catapult"	""	""	""
