"fileName"	"mapBlock"	"ptrOffset"	"strOffset"	"strBytes"	"strText"	"translation"
"BARMAP"	"block1"	"1E00"	"202C"	"131 111 176 162 131 129 131 138 176 131 95 131 98 131 78 131 114 131 139 163 130 197 189 161"	"バー「メリーダックビル」です。"	""
"BARMAP"	"block1"	"1E02"	"1F28"	"131 71 131 108 131 139 131 77 176 130 204 147 88 130 197 189 161"	"エネルギーの店です。"	""
"BARMAP"	"block1"	"1E04"	"1F0F"	"143 67 151 157 141 72 143 234 130 197 189 161"	"修理工場です。"	""
"BARMAP"	"block1"	"1E06"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	""
"BARMAP"	"block1"	"1E08"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	""
"BARMAP"	"block1"	"1E0A"	"1FDA"	"143 100 151 205 131 74 131 94 131 112 131 139 131 103 201 131 96 131 70 131 98 131 78 131 74 131 69 131 147 131 94 176 130 197 189 161"	"重力カタパルトのチェックカウンターです。"	""
"BARMAP"	"block1"	"1E0C"	"1FDA"	"143 100 151 205 131 74 131 94 131 112 131 139 131 103 201 131 96 131 70 131 98 131 78 131 74 131 69 131 147 131 94 176 130 197 189 161"	"重力カタパルトのチェックカウンターです。"	""
"BARMAP"	"block1"	"1E0E"	"2016"	"144 106 151 116 142 247 130 197 189 161"	"針葉樹です。"	""
"BARMAP"	"block1"	"1E10"	"2045"	"131 111 176 130 170 177 216 207 189 161"	"バーがあります。"	""
"BARMAP"	"block1"	"1E12"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	""
"BARMAP"	"block1"	"1E14"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	""
"BARMAP"	"block1"	"1E16"	"1FA6"	"149 115 151 112 149 105 131 117 131 141 176 131 74 176 130 170 177 216 207 189 161"	"不用品ブローカーがあります。"	""
"BARMAP"	"block1"	"1E18"	"2050"	"131 111 176 162 131 65 131 98 131 118 131 139 131 124 131 98 131 118 163 130 197 189 161"	"バー「アップルポップ」です。"	""
"BARMAP"	"block1"	"1E1A"	"2021"	"141 76 151 116 142 247 130 197 189 161"	"広葉樹です。"	""
"BARMAP"	"block1"	"1E1C"	"20CA"	"145 229 183 197 138 226 130 170 177 216 207 189 161"	"大きな岩があります。"	""
"BARMAP"	"block1"	"1E1E"	"1FCE"	"149 172 144 133 130 170 177 216 207 189 161"	"噴水があります。"	""
"BARMAP"	"block1"	"1E20"	"1F91"	"140 154 149 168 130 170 177 216 207 189 161"	"建物があります。"	""
"BARMAP"	"block1"	"1E22"	"1F91"	"140 154 149 168 130 170 177 216 207 189 161"	"建物があります。"	""
"BARMAP"	"block1"	"1E24"	"1FFF"	"131 71 131 108 131 139 131 77 129 91 196 143 67 151 157 201 147 88 130 197 189 161"	"エネルギーと修理の店です。"	""
"BARMAP"	"block1"	"1E26"	"1F0F"	"143 67 151 157 141 72 143 234 130 197 189 161"	"修理工場です。"	""
"BARMAP"	"block1"	"1E28"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	""
"BARMAP"	"block1"	"1E2A"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	""
"BARMAP"	"block1"	"1E2C"	"2068"	"131 111 176 130 170 177 216 207 189 161"	"バーがあります。"	""
"BARMAP"	"block1"	"1E2E"	"20CA"	"145 229 183 197 138 226 130 170 177 216 207 189 161"	"大きな岩があります。"	""
