"fileName"	"strOffset"	"strBytes"	"extraBytes"	"strLimit"	"strText"	"translation"
"EVENT.X"	"12E2"	"145 102 151 177 142 113 150 67"	"1 1 32"	"12"	"素粒子砲"	""
"EVENT.X"	"12F2"	"151 202 142 113 131 140 129 91 131 85 129 91"	"1 1 33"	"12"	"量子レーザー"	""
"EVENT.X"	"1302"	"143 100 151 205 148 103 150 67 35 49"	"1 1 34"	"12"	"重力波砲＃１"	""
"EVENT.X"	"1312"	"143 100 151 205 148 103 150 67 35 50"	"1 1 35"	"12"	"重力波砲＃２"	""
"EVENT.X"	"1322"	"143 100 151 205 148 103 150 67 35 51"	"1 1 36"	"12"	"重力波砲＃３"	""
"EVENT.X"	"1332"	"148 77 138 106 148 189 137 158 146 101 49"	"80 1 37"	"12"	"熱核反応弾１"	""
"EVENT.X"	"1342"	"148 77 138 106 148 189 137 158 146 101 50"	"80 1 38"	"12"	"熱核反応弾２"	""
"EVENT.X"	"1352"	"148 77 138 106 148 189 137 158 146 101 51"	"80 1 39"	"12"	"熱核反応弾３"	""
"EVENT.X"	"1362"	"142 169 147 174 146 199 148 246 146 101 49"	"80 1 40"	"12"	"自動追尾弾１"	""
"EVENT.X"	"1372"	"142 169 147 174 146 199 148 246 146 101 50"	"80 1 41"	"12"	"自動追尾弾２"	""
"EVENT.X"	"1382"	"142 169 147 174 146 199 148 246 146 101 51"	"80 1 42"	"12"	"自動追尾弾３"	""
"EVENT.X"	"1392"	"131 117 129 91 131 88 131 94 129 91 49"	"1 1 55"	"12"	"ブースター１"	""
"EVENT.X"	"13A2"	"131 117 129 91 131 88 131 94 129 91 50"	"1 1 56"	"12"	"ブースター２"	""
"EVENT.X"	"13B2"	"131 117 129 91 131 88 131 94 129 91 51"	"1 1 57"	"12"	"ブースター３"	""
"EVENT.X"	"13C2"	"131 140 129 91 131 95 129 91 35 49"	"1 1 48"	"12"	"レーダー＃１"	""
"EVENT.X"	"13D2"	"131 140 129 91 131 95 129 91 35 50"	"1 1 48"	"12"	"レーダー＃２"	""
"EVENT.X"	"13E2"	"131 140 129 91 131 95 129 91 35 51"	"1 1 48"	"12"	"レーダー＃３"	""
"EVENT.X"	"13F2"	"146 80 139 201 142 113 139 236 147 174 140 94"	"1 1 49"	"12"	"単極子駆動型"	""
"EVENT.X"	"1402"	"151 202 142 113 131 137 131 128 139 236 147 174"	"1 1 49"	"12"	"量子ラム駆動"	""
"EVENT.X"	"1412"	"140 245 142 113 139 236 147 174 140 94"	"1 1 49"	"12"	"光子駆動型"	""
"EVENT.X"	"1422"	"143 100 151 205 139 236 147 174 140 94"	"1 1 49"	"12"	"重力駆動型"	""
"EVENT.X"	"1432"	"142 158 139 243 150 65 139 236 147 174 140 94"	"1 1 49"	"12"	"時空泡駆動型"	""
"EVENT.X"	"1442"	"147 100 142 165 131 86 129 91 131 139 131 104"	"1 1 52"	"12"	"電磁シールド"	""
"EVENT.X"	"1452"	"138 106 151 205 131 86 129 91 131 139 131 104"	"1 1 53"	"12"	"核力シールド"	""
"EVENT.X"	"1462"	"143 100 151 205 131 86 129 91 131 139 131 104"	"1 1 54"	"12"	"重力シールド"	""
"EVENT.X"	"1472"	"131 82 131 147 131 115 131 133 129 91 131 94"	"1 1 50"	"12"	"コンピュータ"	""
"EVENT.X"	"1482"	"131 65 131 105 131 137 131 67 131 85 49"	"1 1 51"	"12"	"アナライザ１"	""
"EVENT.X"	"1492"	"131 65 131 105 131 137 131 67 131 85 50"	"1 1 51"	"12"	"アナライザ２"	""
"EVENT.X"	"14A2"	"131 65 131 105 131 137 131 67 131 85 51"	"1 1 51"	"12"	"アナライザ３"	""
"EVENT.X"	"14B2"	"141 122 144 206 137 193 141 72 139 64 49"	"1 1 58"	"12"	"鉱石加工機１"	""
"EVENT.X"	"14C2"	"141 122 144 206 137 193 141 72 139 64 50"	"1 1 58"	"12"	"鉱石加工機２"	""
"EVENT.X"	"14D2"	"141 122 144 206 137 193 141 72 139 64 51"	"1 1 58"	"12"	"鉱石加工機３"	""
"EVENT.X"	"14E2"	"143 238 149 241 131 74 129 91 131 104 49"	"16 1 4"	"12"	"情報カード１"	""
"EVENT.X"	"14F2"	"143 238 149 241 131 74 129 91 131 104 50"	"16 1 5"	"12"	"情報カード２"	""
"EVENT.X"	"1502"	"143 238 149 241 131 74 129 91 131 104 51"	"16 1 6"	"12"	"情報カード３"	""
"EVENT.X"	"1512"	"144 108 149 168 131 116 131 64 131 67 131 139"	"1 1 7"	"12"	"人物ファイル"	""
"EVENT.X"	"1522"	"136 217 144 175 149 182 150 190 201 148 232"	"1 1 8"	"12"	"異星文明の碑"	""
"EVENT.X"	"1532"	"147 167 137 223 149 199 131 90 131 147 131 84"	"1 1 9"	"12"	"透過壁センサ"	""
"EVENT.X"	"1542"	"147 110 141 113 139 150 137 194 143 216"	"1 1 10"	"12"	"渡航許可証"	""
"EVENT.X"	"1552"	"140 195 145 227 149 186 138 237"	"1 1 20"	"12"	"古代兵器"	""
"EVENT.X"	"1562"	"143 67 151 157 131 134 131 106 131 98 131 103"	"40 1 21"	"12"	"修理ユニット"	""
"EVENT.X"	"1572"	"182 184 151 144 146 101"	"20 1 22"	"12"	"かく乱弾"	""
"EVENT.X"	"1582"	"143 100 144 133 145 102 141 122 144 206"	"99 1 23"	"12"	"重水素鉱石"	""
"EVENT.X"	"1592"	"139 224 145 174 141 122 144 206"	"99 1 24"	"12"	"金属鉱石"	""
"EVENT.X"	"15A2"	"143 100 140 179 145 102 141 122 144 206"	"99 1 25"	"12"	"重元素鉱石"	""
"EVENT.X"	"15B2"	"131 82 131 147 131 101 131 105"	"10 1 26"	"12"	"コンテナ"	""
"EVENT.X"	"15C2"	"131 94 131 147 131 78"	"5 1 255"	"12"	"タンク"	""
"USEITEM.X"	"007A"	"145 102 151 177 142 113 150 67"	"1 1 32"	"12"	"素粒子砲"	""
"USEITEM.X"	"008A"	"151 202 142 113 131 140 129 91 131 85 129 91"	"1 1 33"	"12"	"量子レーザー"	""
"USEITEM.X"	"009A"	"143 100 151 205 148 103 150 67 35 49"	"1 1 34"	"12"	"重力波砲＃１"	""
"USEITEM.X"	"00AA"	"143 100 151 205 148 103 150 67 35 50"	"1 1 35"	"12"	"重力波砲＃２"	""
"USEITEM.X"	"00BA"	"143 100 151 205 148 103 150 67 35 51"	"1 1 36"	"12"	"重力波砲＃３"	""
"USEITEM.X"	"00CA"	"148 77 138 106 148 189 137 158 146 101 49"	"80 1 37"	"12"	"熱核反応弾１"	""
"USEITEM.X"	"00DA"	"148 77 138 106 148 189 137 158 146 101 50"	"80 1 38"	"12"	"熱核反応弾２"	""
"USEITEM.X"	"00EA"	"148 77 138 106 148 189 137 158 146 101 51"	"80 1 39"	"12"	"熱核反応弾３"	""
"USEITEM.X"	"00FA"	"142 169 147 174 146 199 148 246 146 101 49"	"80 1 40"	"12"	"自動追尾弾１"	""
"USEITEM.X"	"010A"	"142 169 147 174 146 199 148 246 146 101 50"	"80 1 41"	"12"	"自動追尾弾２"	""
"USEITEM.X"	"011A"	"142 169 147 174 146 199 148 246 146 101 51"	"80 1 42"	"12"	"自動追尾弾３"	""
"USEITEM.X"	"012A"	"131 117 129 91 131 88 131 94 129 91 49"	"1 1 55"	"12"	"ブースター１"	""
"USEITEM.X"	"013A"	"131 117 129 91 131 88 131 94 129 91 50"	"1 1 56"	"12"	"ブースター２"	""
"USEITEM.X"	"014A"	"131 117 129 91 131 88 131 94 129 91 51"	"1 1 57"	"12"	"ブースター３"	""
"USEITEM.X"	"015A"	"131 140 129 91 131 95 129 91 35 49"	"1 1 48"	"12"	"レーダー＃１"	""
"USEITEM.X"	"016A"	"131 140 129 91 131 95 129 91 35 50"	"1 1 48"	"12"	"レーダー＃２"	""
"USEITEM.X"	"017A"	"131 140 129 91 131 95 129 91 35 51"	"1 1 48"	"12"	"レーダー＃３"	""
"USEITEM.X"	"018A"	"146 80 139 201 142 113 139 236 147 174 140 94"	"1 1 49"	"12"	"単極子駆動型"	""
"USEITEM.X"	"019A"	"151 202 142 113 131 137 131 128 139 236 147 174"	"1 1 49"	"12"	"量子ラム駆動"	""
"USEITEM.X"	"01AA"	"140 245 142 113 139 236 147 174 140 94"	"1 1 49"	"12"	"光子駆動型"	""
"USEITEM.X"	"01BA"	"143 100 151 205 139 236 147 174 140 94"	"1 1 49"	"12"	"重力駆動型"	""
"USEITEM.X"	"01CA"	"142 158 139 243 150 65 139 236 147 174 140 94"	"1 1 49"	"12"	"時空泡駆動型"	""
"USEITEM.X"	"01DA"	"147 100 142 165 131 86 129 91 131 139 131 104"	"1 1 52"	"12"	"電磁シールド"	""
"USEITEM.X"	"01EA"	"138 106 151 205 131 86 129 91 131 139 131 104"	"1 1 53"	"12"	"核力シールド"	""
"USEITEM.X"	"01FA"	"143 100 151 205 131 86 129 91 131 139 131 104"	"1 1 54"	"12"	"重力シールド"	""
"USEITEM.X"	"020A"	"131 82 131 147 131 115 131 133 129 91 131 94"	"1 1 50"	"12"	"コンピュータ"	""
"USEITEM.X"	"021A"	"131 65 131 105 131 137 131 67 131 85 49"	"1 1 51"	"12"	"アナライザ１"	""
"USEITEM.X"	"022A"	"131 65 131 105 131 137 131 67 131 85 50"	"1 1 51"	"12"	"アナライザ２"	""
"USEITEM.X"	"023A"	"131 65 131 105 131 137 131 67 131 85 51"	"1 1 51"	"12"	"アナライザ３"	""
"USEITEM.X"	"024A"	"141 122 144 206 137 193 141 72 139 64 49"	"1 1 58"	"12"	"鉱石加工機１"	""
"USEITEM.X"	"025A"	"141 122 144 206 137 193 141 72 139 64 50"	"1 1 58"	"12"	"鉱石加工機２"	""
"USEITEM.X"	"026A"	"141 122 144 206 137 193 141 72 139 64 51"	"1 1 58"	"12"	"鉱石加工機３"	""
"USEITEM.X"	"027A"	"143 238 149 241 131 74 129 91 131 104 49"	"16 1 4"	"12"	"情報カード１"	""
"USEITEM.X"	"028A"	"143 238 149 241 131 74 129 91 131 104 50"	"16 1 5"	"12"	"情報カード２"	""
"USEITEM.X"	"029A"	"143 238 149 241 131 74 129 91 131 104 51"	"16 1 6"	"12"	"情報カード３"	""
"USEITEM.X"	"02AA"	"144 108 149 168 131 116 131 64 131 67 131 139"	"1 1 7"	"12"	"人物ファイル"	""
"USEITEM.X"	"02BA"	"136 217 144 175 149 182 150 190 201 148 232"	"1 1 8"	"12"	"異星文明の碑"	""
"USEITEM.X"	"02CA"	"147 167 137 223 149 199 131 90 131 147 131 84"	"1 1 9"	"12"	"透過壁センサ"	""
"USEITEM.X"	"02DA"	"147 110 141 113 139 150 137 194 143 216"	"1 1 10"	"12"	"渡航許可証"	""
"USEITEM.X"	"02EA"	"140 195 145 227 149 186 138 237"	"1 1 20"	"12"	"古代兵器"	""
"USEITEM.X"	"02FA"	"143 67 151 157 131 134 131 106 131 98 131 103"	"40 1 21"	"12"	"修理ユニット"	""
"USEITEM.X"	"030A"	"182 184 151 144 146 101"	"20 1 22"	"12"	"かく乱弾"	""
"USEITEM.X"	"031A"	"143 100 144 133 145 102 141 122 144 206"	"99 1 23"	"12"	"重水素鉱石"	""
"USEITEM.X"	"032A"	"139 224 145 174 141 122 144 206"	"99 1 24"	"12"	"金属鉱石"	""
"USEITEM.X"	"033A"	"143 100 140 179 145 102 141 122 144 206"	"99 1 25"	"12"	"重元素鉱石"	""
"USEITEM.X"	"034A"	"131 82 131 147 131 101 131 105"	"10 1 26"	"12"	"コンテナ"	""
"USEITEM.X"	"035A"	"131 94 131 147 131 78"	"5 1 255"	"12"	"タンク"	""
