"fileName"	"mapBlock"	"ptrOffset"	"strOffset"	"strBytes"	"strText"	"translation"
"BARMAP"	"block1"	"1E00"	"202C"	"131 111 176 162 131 129 131 138 176 131 95 131 98 131 78 131 114 131 139 163 130 197 189 161"	"バー「メリーダックビル」です。"	"It's a bar, ""Mary Duckville""."
"BARMAP"	"block1"	"1E02"	"1F28"	"131 71 131 108 131 139 131 77 176 130 204 147 88 130 197 189 161"	"エネルギーの店です。"	"It's an energy store."
"BARMAP"	"block1"	"1E04"	"1F0F"	"143 67 151 157 141 72 143 234 130 197 189 161"	"修理工場です。"	"It's a repair shop."
"BARMAP"	"block1"	"1E06"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	"It's a weapon shop."
"BARMAP"	"block1"	"1E08"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	"It's a shop with parts."
"BARMAP"	"block1"	"1E0A"	"1FDA"	"143 100 151 205 131 74 131 94 131 112 131 139 131 103 201 131 96 131 70 131 98 131 78 131 74 131 69 131 147 131 94 176 130 197 189 161"	"重力カタパルトのチェックカウンターです。"	"It is a check counter for gravity catapult."
"BARMAP"	"block1"	"1E0C"	"1FDA"	"143 100 151 205 131 74 131 94 131 112 131 139 131 103 201 131 96 131 70 131 98 131 78 131 74 131 69 131 147 131 94 176 130 197 189 161"	"重力カタパルトのチェックカウンターです。"	"It is a check counter for gravity catapult."
"BARMAP"	"block1"	"1E0E"	"2016"	"144 106 151 116 142 247 130 197 189 161"	"針葉樹です。"	"It's a coniferous tree."
"BARMAP"	"block1"	"1E10"	"2045"	"131 111 176 130 170 177 216 207 189 161"	"バーがあります。"	"It's a bar."
"BARMAP"	"block1"	"1E12"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	"It's a weapon shop."
"BARMAP"	"block1"	"1E14"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	"It's a shop with parts."
"BARMAP"	"block1"	"1E16"	"1FA6"	"149 115 151 112 149 105 131 117 131 141 176 131 74 176 130 170 177 216 207 189 161"	"不用品ブローカーがあります。"	"It's a shop where you can sell miscellaneous things."
"BARMAP"	"block1"	"1E18"	"2050"	"131 111 176 162 131 65 131 98 131 118 131 139 131 124 131 98 131 118 163 130 197 189 161"	"バー「アップルポップ」です。"	"It's a bar, ""Apple Pop""."
"BARMAP"	"block1"	"1E1A"	"2021"	"141 76 151 116 142 247 130 197 189 161"	"広葉樹です。"	"It's hardwood."
"BARMAP"	"block1"	"1E1C"	"20CA"	"145 229 183 197 138 226 130 170 177 216 207 189 161"	"大きな岩があります。"	"There is a big rock here."
"BARMAP"	"block1"	"1E1E"	"1FCE"	"149 172 144 133 130 170 177 216 207 189 161"	"噴水があります。"	"There is a fountain here."
"BARMAP"	"block1"	"1E20"	"1F91"	"140 154 149 168 130 170 177 216 207 189 161"	"建物があります。"	"There is a building here."
"BARMAP"	"block1"	"1E22"	"1F91"	"140 154 149 168 130 170 177 216 207 189 161"	"建物があります。"	"There is a building here."
"BARMAP"	"block1"	"1E24"	"1FFF"	"131 71 131 108 131 139 131 77 129 91 196 143 67 151 157 201 147 88 130 197 189 161"	"エネルギーと修理の店です。"	"It's an energy/repair store. "
"BARMAP"	"block1"	"1E26"	"1F0F"	"143 67 151 157 141 72 143 234 130 197 189 161"	"修理工場です。"	"It's a repair shop."
"BARMAP"	"block1"	"1E28"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	"It's a weapon shop."
"BARMAP"	"block1"	"1E2A"	"1F3A"	"131 112 176 131 99 201 147 88 130 170 177 216 207 189 161"	"パーツの店があります。"	"It's a shop with parts."
"BARMAP"	"block1"	"1E2C"	"2068"	"131 111 176 130 170 177 216 207 189 161"	"バーがあります。"	"It's a bar."
"BARMAP"	"block1"	"1E2E"	"20CA"	"145 229 183 197 138 226 130 170 177 216 207 189 161"	"大きな岩があります。"	"There is a big rock here."
"BARMAP"	"block1"	"1E30"	"2073"	"131 111 176 162 131 130 131 147 131 112 131 139 131 105 131 88 163 130 197 189 161"	"バー「モンパルナス」です。"	"It's a bar, ""Montparnasse"". "
"BARMAP"	"block1"	"1E32"	"1F0F"	"143 67 151 157 141 72 143 234 130 197 189 161"	"修理工場です。"	"It's a repair shop."
"BARMAP"	"block1"	"1E34"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	"It's a weapon shop."
"BARMAP"	"block1"	"1E36"	"1F74"	"131 125 131 67 131 88 131 103 201 147 88 130 197 189 161"	"マイストの店です。"	"It's a Meister workshop. "
"BARMAP"	"block1"	"1E38"	"1F74"	"131 125 131 67 131 88 131 103 201 147 88 130 197 189 161"	"マイストの店です。"	"It's a Meister workshop. "
"BARMAP"	"block1"	"1E3A"	"1F28"	"131 71 131 108 131 139 131 77 176 130 204 147 88 130 197 189 161"	"エネルギーの店です。"	"It's an energy store."
"BARMAP"	"block1"	"1E3C"	"1F1C"	"149 144 138 237 201 147 88 130 197 189 161"	"武器の店です。"	"It's a weapon shop."
"BARMAP"	"block1"	"1E3E"	"1FA6"	"149 115 151 112 149 105 131 117 131 141 176 131 74 176 130 170 177 216 207 189 161"	"不用品ブローカーがあります。"	"It's a shop with miscellaneous things."
"BARMAP"	"block1"	"1E40"	"2089"	"131 111 176 162 131 121 131 147 131 77 131 147 131 89 131 112 131 137 131 95 131 67 131 88 163 130 197 189 161"	"バー「ペンギンズパラダイス」です。"	"It's a bar, ""Penguin's Paradise"". "
"BARMAP"	"block1"	"1E42"	"1F5F"	"147 71 201 131 88 131 94 176 131 78 131 139 176 131 85 176 130 197 189 161"	"敵のスタークルーザーです。"	"It's an enemy Star Cruiser. "
