"table"	"ptrOffset"	"strOffset"	"size"	"strBytes"	"strText"	"translation"
"Battle conditions"	"0102BC"	"01033C"	"285"	"03 5C C3 B7 C9 20 BE DE DD D2 C2"	"\てきの ぜんめつ"	""
"Battle conditions"	"0102C0"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102C4"	"01033C"	"285"	"03 5C C3 B7 C9 20 BE DE DD D2 C2"	"\てきの ぜんめつ"	""
"Battle conditions"	"0102C8"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102CC"	"01033C"	"285"	"03 5C C3 B7 C9 20 BE DE DD D2 C2"	"\てきの ぜんめつ"	""
"Battle conditions"	"0102D0"	"01033C"	"285"	"03 5C C3 B7 C9 20 BE DE DD D2 C2"	"\てきの ぜんめつ"	""
"Battle conditions"	"0102D4"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102D8"	"01035A"	"285"	"03 5C C3 B7 A6 A4 35 B7 20 B2 B6 C6 BD D9"	"\てきを、5き いかにする"	""
"Battle conditions"	"0102DC"	"01033C"	"285"	"03 5C C3 B7 C9 20 BE DE DD D2 C2"	"\てきの ぜんめつ"	""
"Battle conditions"	"0102E0"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102E4"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102E8"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102EC"	"01036A"	"285"	"03 5C C3 B7 A4 BA B3 BC DE AE B3 C9 20 CA B6 B2 C4 A4 01 01 20 C3 B7 A4 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき、こうじょうの はかいと、

 てき、たいしょうの しぼう"	""
"Battle conditions"	"0102F0"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102F4"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102F8"	"010348"	"285"	"03 5C C3 B7 20 C0 B2 BC AE B3 C9 20 BC CE DE B3"	"\てき たいしょうの しぼう"	""
"Battle conditions"	"0102FC"	"01038E"	"285"	"03 5E C0 B8 D4 C9 20 BC CE DE B3 A4 B7 C1 C9 20 CA B6 B2"	"^たくやの しぼう、きちの はかい"	""
"Battle conditions"	"010300"	"0103A2"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3"	"^たくや、ベンの しぼう"	""
"Battle conditions"	"010304"	"0103B4"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3 01 01 5E BA B3 BC DE AE B3 C9 20 CA B6 B2"	"^たくや、ベンの しぼう

^こうじょうの はかい"	""
"Battle conditions"	"010308"	"0103A2"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3"	"^たくや、ベンの しぼう"	""
"Battle conditions"	"01030C"	"0103D4"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B4 C3 DE A8 A4 BE DE D9 CC DE A4 B3 DE AB B2 C4 DE 03 C9 20 BC CE DE B3"	"^たくや、ベン、エディ、ゼルブ、ヴォイドの しぼう"	""
"Battle conditions"	"010310"	"0103A2"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3"	"^たくや、ベンの しぼう"	""
"Battle conditions"	"010314"	"0103F8"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 C6 B0 C5 A4 C1 AA B2 03 C9 20 BC CE DE B3"	"^たくや、ベン、ニーナ、チェイの しぼう"	""
"Battle conditions"	"010318"	"010412"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3 01 01 5E B7 C1 C9 20 CA B6 B2"	"^たくや、ベンの しぼう

^きちの はかい"	""
"Battle conditions"	"01031C"	"01042E"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 03 DA B2 BA C9 20 BC CE DE B3"	"^たくや、ベン、れいこの しぼう"	""
"Battle conditions"	"010320"	"0103A2"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD 03 C9 20 BC CE DE B3"	"^たくや、ベンの しぼう"	""
"Battle conditions"	"010324"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Battle conditions"	"010328"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Battle conditions"	"01032C"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Battle conditions"	"010330"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Battle conditions"	"010334"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Battle conditions"	"010338"	"010444"	"285"	"03 5E C0 B8 D4 A4 02 CD DE DD A4 B7 B0 D9 03 C9 20 BC CE DE B3"	"^たくや、ベン、キールの しぼう"	""
"Character names"	"048706"	"048796"	"329"	"03 D1 D7 BB DC 20 C0 B8 D4"	"むらさわ たくや"	""
"Character names"	"04870A"	"0487A0"	"329"	"02 CF AF B8 A5 D7 B2 B1 DD"	"マック・ライアン"	""
"Character names"	"04870E"	"0487AA"	"329"	"02 CA D8 B0 A5 B7 DE CC DE BF DD"	"ハリー・ギブソン"	""
"Character names"	"048712"	"0487B6"	"329"	"02 B4 C3 DE A8 A5 DA B2"	"エディ・レイ"	""
"Character names"	"048716"	"0487BF"	"329"	"02 C6 B0 C5 A5 DB B3 D8 B4"	"ニーナ・ロウリエ"	""
"Character names"	"04871A"	"0487C9"	"329"	"02 C1 AA B2 A5 B3 AB DD"	"チェイ・ウォン"	""
"Character names"	"04871E"	"0487D2"	"329"	"03 CF C1 C0 DE 20 DA B2 BA"	"まちだ れいこ"	""
"Character names"	"048722"	"0487DC"	"329"	"02 B7 B0 D9 A5 DB B2 D4 B0 C4 DE"	"キール・ロイヤード"	""
"Character names"	"048726"	"0487E8"	"329"	"02 CD DE DD A5 CA DE BD B8"	"ベン・バスク"	""
"Character names"	"04872A"	"0487F2"	"329"	"03 BF B3 BC DA B2 B6 DD"	"そうしれいかん"	""
"Character names"	"04872E"	"0487FB"	"329"	"02 B5 CD DF DA B0 C0 B0"	"オペレーター"	""
"Character names"	"048732"	"048804"	"329"	"02 B5 CD DF DA B0 C0 B0"	"オペレーター"	""
