"scenePtrOffset"	"ptrOffset"	"lineOffset"	"strBytes"	"prefix"	"scene"	"name"	"strText"	"translation"
"017C8E"	"0000"	"0200"	"A2 02 BD D7 AF BC AD 03 CC DE C0 B2 C4 D3 B5 DC B6 DA B6 A5 A5 A5 A3 08"	"05 05 1E 0A 01"	"scene01"	"Takuya Murasawa (dying)"	"「スラッシュぶたいともおわかれか・・・」[pause]"	"Farewell, Slash team..."
"017C8E"	"0002"	"021E"	"A2 03 C0 DE B6 D7 02 B8 DE D7 AF CC DF C0 B2 CC DF 03 CA B2 D4 C5 DD C0 DE A5 A5 A5 A3 08"	"05 05 1E 0A 07"	"scene01"	"Mack Ryan (dying)"	"「だからグラップタイプはいやなんだ・・・」[pause]"	"This is why I hate Grap-types..."
"017C8E"	"0004"	"0242"	"A2 03 D0 DD C5 B1 C4 CA D6 DB BC B8 C0 C9 D1 A5 A5 A5 A3 08"	"05 05 1E 0A 0D"	"scene01"	"Harry Gibson (dying)"	"「みんなあとはよろしくたのむ・・・」[pause]"	"I'm counting on you, guys..."
"017C8E"	"0006"	"025C"	"A2 03 C1 B8 BC AE B3 A4 BA DA CF C3 DE B6 21 A3 08"	"05 05 1E 0A 13"	"scene01"	"Eddie Ray (dying)"	"「ちくしょう、これまでか!」[pause]"	"Dammit! That's it for me!"
"017C8E"	"0008"	"0273"	"A2 03 BA DE D2 DD 02 C1 AA B2 A4 03 CE DE B8 CA D3 B3 C0 DE D2 D0 C0 B2 A5 A5 A5 A3 08"	"05 05 1E 0A 19"	"scene01"	"Nina Laurel (dying)"	"「ごめんチェイ、ぼくはもうだめみたい・・・」[pause]"	"Sorry Chay, I guess this is it for me..."
"017C8E"	"000A"	"0296"	"A2 03 D0 DD C5 A4 B1 C4 C9 BA C4 C0 C9 D1 B1 D9 A5 A5 A5 A3 08"	"05 05 1E 0A 1F"	"scene01"	"Chay Won (dying)"	"「みんな、あとのことたのむある・・・」[pause]"	"Guys, the rest is up to you..."
"017C8E"	"000C"	"02B1"	"A2 03 D0 DD C5 A4 B6 C5 D7 BD DE B6 AF C3 A5 A5 A5 A3 08"	"05 05 1E 0A 25"	"scene01"	"Reiko Machida (dying)"	"「みんな、かならずかって・・・」[pause]"	"Win for me, guys..."
"017C8E"	"000E"	"02CA"	"A2 03 DC A5 DC C0 BC B6 DE A4 BA BA C3 DE BC C7 DC B9 C6 CA A5 A5 A5 A3 08"	"05 05 1E 0A 2B"	"scene01"	"Kiel Royard (dying)"	"「わ・わたしが、ここでしぬわけには・・・」[pause]"	"I-I can't die here..."
"017C8E"	"0010"	"02E9"	"A2 03 DC BC D3 BA BA CF C3 DE BC DE AC C5 A5 A5 A5 A3 08"	"05 05 1E 0A 31"	"scene01"	"Ben Basque (dying)"	"「わしもここまでじゃな・・・」[pause]"	"It's the end of the road for me..."
"017C8E"	"0012"	"0302"	"A2 03 B3 DC B0 21 A3 09"	"05 05 1E 0A 49"	"scene01"	"Common troop (dying)"	"「うわー!」[pause09]"	"Uwaaah!"
